timestamp,gpu_util_pct,memory_util_pct,memory_used_mib,memory_total_mib,power_w,temperature_c
2026-07-16T12:57:25Z,0, 0, 0, 143771, 79.86, 37
2026-07-16T12:57:27Z,0, 0, 0, 143771, 79.79, 37
2026-07-16T12:57:29Z,0, 0, 4, 143771, 79.83, 37
2026-07-16T12:57:31Z,0, 0, 4, 143771, 79.77, 37
2026-07-16T12:57:33Z,0, 0, 4, 143771, 79.72, 37
2026-07-16T12:57:35Z,15, 0, 5537, 143771, 117.11, 38
2026-07-16T12:57:37Z,15, 0, 18719, 143771, 125.16, 38
2026-07-16T12:57:39Z,1, 0, 28011, 143771, 124.42, 38
2026-07-16T12:57:41Z,100, 54, 71097, 143771, 692.73, 52
2026-07-16T12:57:43Z,100, 55, 82305, 143771, 683.12, 55
2026-07-16T12:57:45Z,5, 0, 82805, 143771, 420.50, 44
