timestamp,gpu_util_pct,memory_util_pct,memory_used_mib,memory_total_mib,power_w,temperature_c
2026-07-16T12:58:12Z,0, 0, 0, 143771, 79.73, 37
2026-07-16T12:58:14Z,0, 0, 0, 143771, 79.65, 37
2026-07-16T12:58:16Z,0, 0, 4, 143771, 79.77, 37
2026-07-16T12:58:18Z,0, 0, 4, 143771, 79.61, 37
2026-07-16T12:58:20Z,0, 0, 4, 143771, 79.59, 37
2026-07-16T12:58:22Z,15, 0, 5697, 143771, 117.44, 38
2026-07-16T12:58:24Z,16, 0, 18557, 143771, 125.79, 38
2026-07-16T12:58:26Z,0, 0, 27697, 143771, 125.03, 38
2026-07-16T12:58:28Z,100, 49, 71097, 143771, 693.00, 53
2026-07-16T12:58:30Z,100, 54, 82305, 143771, 694.55, 52
2026-07-16T12:58:32Z,59, 32, 82805, 143771, 596.56, 55
2026-07-16T12:58:34Z,100, 55, 82805, 143771, 688.38, 57
2026-07-16T12:58:36Z,100, 56, 82825, 143771, 684.40, 58
2026-07-16T12:58:38Z,100, 51, 82841, 143771, 695.89, 60
2026-07-16T12:58:40Z,100, 56, 82841, 143771, 690.18, 59
2026-07-16T12:58:42Z,100, 52, 82841, 143771, 687.64, 62
2026-07-16T12:58:44Z,100, 55, 82841, 143771, 688.58, 62
2026-07-16T12:58:46Z,100, 56, 82841, 143771, 690.96, 63
2026-07-16T12:58:49Z,100, 57, 82841, 143771, 684.30, 62
2026-07-16T12:58:51Z,100, 55, 82841, 143771, 690.83, 61
2026-07-16T12:58:53Z,100, 49, 82841, 143771, 697.08, 64
2026-07-16T12:58:55Z,100, 54, 82841, 143771, 698.61, 65
2026-07-16T12:58:57Z,100, 53, 82841, 143771, 672.32, 65
2026-07-16T12:58:59Z,100, 56, 82841, 143771, 696.75, 64
2026-07-16T12:59:01Z,100, 55, 82841, 143771, 687.26, 65
2026-07-16T12:59:03Z,100, 50, 82841, 143771, 693.46, 68
2026-07-16T12:59:05Z,100, 57, 82841, 143771, 686.63, 66
2026-07-16T12:59:07Z,100, 53, 82841, 143771, 688.99, 66
2026-07-16T12:59:09Z,100, 56, 82841, 143771, 694.71, 66
2026-07-16T12:59:11Z,100, 55, 82841, 143771, 686.50, 66
2026-07-16T12:59:13Z,100, 55, 82841, 143771, 696.21, 65
2026-07-16T12:59:15Z,100, 54, 82841, 143771, 687.23, 66
